match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
428, 1800727, 776, 110, 3, -18, 1, 0
429, 1800553, 4537, 31, 5, -16, 0, 1
430, 1800774, 4194, 8, 5, 11, 1, 1
431, 1800655, 6129, 82, 3, 7, 0, 1
432, 1800712, -1026, -30, -1, 6, 0, 0
433, 1800782, -7553, -125, -6, -1, 0, 1
434, 1800626, -5176, 93, -13, -34, -3, 1
435, 1800616, 2366, -32, 1, 5, -1, 1
436, 1800727, 7172, -25, 15, 19, -4, 1
437, 1800629, -2635, 0, -16, -12, -3, 0
438, 1800657, 200, -34, -6, -2, 3, 1
439, 1800684, -15909, -142, -16, -10, -3, 0
440, 1800624, 7024, 92, 0, -8, -2, 0
441, 1800680, -1481, -17, 0, 7, -3, 0
442, 1800617, 6150, -37, 13, 42, -3, 1
443, 1800868, -2657, -14, -1, -1, -1, 1
444, 1800637, 5513, -4, 4, -7, 1, 1
445, 1800618, -1613, -115, 10, 6, 0, 0
446, 1800786, 756, 77, -7, -14, -2, 0
447, 1800659, -11985, -157, -14, -7, -2, 0
448, 1800656, 231, 14, -5, -7, -1, 1
449, 1800679, -11504, -2, -17, -20, -3, 0
450, 1800681, 1025, 27, 0, -3, 3, 1
451, 1800596, 7016, 35, 7, 11, -1, 1
452, 1800663, -12333, 16, -12, -20, 0, 0
453, 1800550, -3017, -26, 3, 20, 0, 1
454, 1800730, 4237, 49, 4, 3, -2, 0
455, 1800695, 2645, 75, -5, -18, 1, 1
456, 1800639, -5150, -147, -6, 5, 1, 0
457, 1800660, 6543, 8, 3, -5, 3, 1
458, 1800658, 3902, 46, 5, -7, 0, 1
459, 1800786, -4344, -80, -5, 0, 1, 1
460, 1800618, 431, 122, -5, -1, 0, 0
461, 1800644, -6721, -63, -6, -8, 0, 0
462, 1800661, 6057, 98, 2, -7, 0, 1
463, 1800953, 9095, 84, 11, 8, 0, 1
464, 1800606, 15176, 59, 13, 10, -1, 1
465, 1800661, 2945, -51, 14, 15, 3, 1
466, 1800560, -6702, 21, -13, 13, -1, 0
467, 1800663, 12656, -31, 19, 44, 2, 1
468, 1800731, 12070, 175, 8, 10, 1, 1
469, 1800607, 2653, 33, -5, -25, 1, 0
470, 1800558, -9551, 57, -9, 3, -3, 0
471, 1800787, -1118, -140, -3, 5, -1, 1
472, 1800619, -15435, -72, -7, 3, -3, 0
473, 1800643, -3505, -23, -2, 24, -3, 0
474, 1800696, -3960, 3, -1, 2, -1, 0
475, 1800734, -4483, 1, -8, -20, -1, 0
476, 1800818, 5493, 3, 10, 27, 3, 1
477, 1800621, -7433, 83, -12, -9, -2, 0
478, 1800495, 8766, 103, 12, 9, 3, 1
479, 1800654, 4304, 148, -2, -6, -1, 0
480, 1800650, -13154, -28, -15, -23, -3, 0
481, 1800630, -11648, -98, 1, 14, -3, 0
482, 1800602, 11751, 57, 13, -14, 1, 1
483, 1800806, -710, 20, -6, -8, -1, 0
484, 1800715, -8169, -32, -26, -27, -1, 0
485, 1800687, 8558, 68, 7, 11, 2, 1
486, 1800686, -1309, 44, -6, 9, -3, 0
487, 1800596, -14434, -107, -7, -10, -3, 0
488, 1800741, 2823, -43, 4, 13, 2, 1
489, 1800763, 9929, -13, 17, 44, 2, 1
490, 1800625, 11012, 32, 13, 19, 1, 1
491, 1800392, 13203, 35, 11, 6, 3, 1
494, 1800686, 11296, 89, 11, 25, 2, 1
495, 1800625, -18303, -90, -19, -24, -1, 0
496, 1800556, 13091, 120, 14, 22, 0, 1
